Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
110,26297.29736656447,1784.34973931299,13.901510907447141
111,26311.16515597461,1775.8030177831997,13.935572943002697
112,26330.909403376714,1767.2380783448702,13.97243352775635
113,26372.020551364607,1759.2830068699905,14.012059989859049
114,26386.79766046794,1740.88896539159,14.226363874961935
115,26715.988373226915,1737.2729660861219,14.566196788273594
116,26830.227951478708,1731.163851587559,14.616761537245626
117,26947.135436813314,1724.970511956806,14.848959155289842
118,27093.705201999368,1720.7800644700903,14.905822260799843
119,27242.815694888064,1716.5980789660362,15.149483047438386
120,26844.071453240696,1576.12657708159,16.17004460028316
121,27634.37524387148,1573.955682682965,16.59263328752737
122,27406.26229561989,1548.82767778092,16.960399489994153
123,27816.559952901353,1549.4027766997397,17.33829310361352
124,28234.336690816574,1550.23150022856,17.538528018775
125,28655.24886771713,1551.1467299771602,17.73850682592389
126,30834.106773892687,988.7082654202,31.1471142357
127,31063.905781698115,987.1589603908999,31.419456127017394
128,31293.420190933146,985.6418552117002,31.691106587208697
129,31522.651072548877,984.1566418635002,31.96205373818261
130,31751.599747311462,982.7030170060001,32.23228601606086
131,32016.5494129141,980.3185145942999,32.56820409586956
132,32314.870839862582,978.9089187831,32.90922152936957
133,32612.486850035133,977.5298170190997,33.24935652217826
134,32909.37172715158,976.1809224771998,33.588563186486965
135,30771.115769892574,910.2228767913,33.757051491004546
136,25464.2240306778,735.1577597016,34.17497615911904
137,25878.216850745463,740.4409124350999,34.510686729642856
138,25482.696388867487,720.8042173756,34.95751181713
139,25717.686392088235,720.8042173735,35.287576380165
140,25951.832429786795,720.8042160358,35.61646249395
